longitude;latitude;Clase_SOM;Phosphate;Iron;Bottom light;Nitrate;Dissolved oxygen;pH;Salinity;Silicate;Temperature;PAR;Organic matter;Chlorophyll-a;Phytoplankton;Bottom utilized oxygen;Primary productivity ;Asp_bat;East_bat;River influence;Benthic current velocity;Runoff;Wind;Land distance;Mean_bat;Nort_bat;Rdmv_bat;Slop_bat;Stde_bat;Surf_bat;Substrate hardness;Particle size;Euphotic layer depth;Light attenuation coefficient;IBMR
898156.5;822353.5;14;1.5965331;0.0003456;0.0238487;19.6632729;93.2599792;7.9828382;34.7834015;9.1715689;16.6824455;39.7727432;5.8629541;0.3391115;0.8827705;4.7162261;0.0018801;18.4349499;0.3162278;0.78956;0.0815367;8.14E-05;1.5023842;0.3540837;-44.3333282;0.9486833;-0.0641026;0.0913692;7.6303492;-46;48.7326241;4.2277083;32.3676147;1.0688696;0.2366061
902617.5;822353.5;14;1.6212786;0.0003661;0.0173337;20.1235123;89.8941956;7.9823976;34.7813339;9.4876003;16.4606857;40.2765617;6.9437871;0.3169952;0.8204389;4.0184994;0.0015704;36.6341095;0.5967028;0.805524;0.081788;0.0001406;1.4724233;0.3133698;-48.8888893;0.8024623;-0.0038314;0.1560258;9.9715643;-49;46.0576973;4.2510881;31.0391541;1.3985872;0.251727
907078.5;822353.5;14;1.6731101;0.0004001;0.0068346;21.0929012;82.8820038;7.98208;34.8757706;10.1152725;15.9992762;40.5861435;7.95924;0.270892;0.6901324;3.7711284;0.0009326;23.8951607;0.4050644;0.8204185;0.0912314;0.0001998;1.4424623;0.287384;-52.4444389;0.9142882;-0.1873016;0.1386982;12.0380096;-59;39.3403664;4.2170801;29.5761662;1.5634192;0.2708516
911539.5;822353.5;14;1.629232;0.0004128;0.005683;20.2885952;87.3113632;7.9818254;34.8718491;9.9872179;16.4976807;40.7967682;8.5426626;0.2701364;0.7029068;3.7531846;0.0015946;332.4880066;-0.4619343;0.833672;0.093562;0.000259;1.4125015;0.2689012;-50.8888893;0.8869142;-0.3685637;0.1737465;13.4366398;-66;37.1133156;4.1428404;28.0446472;1.6442529;0.2959184
916000.5;822353.5;14;1.4258378;0.0003903;0.0201105;16.5281258;110.8099594;7.9817128;34.7040062;8.599617;18.5957756;41.1121521;9.2629833;0.34496;0.9541495;3.7210195;0.004423;308.8171082;-0.7791511;0.8444613;0.0840379;0.0003182;1.3825405;0.2358825;-39.3333282;0.6268362;-0.2485876;0.2740023;18.4872303;-54;33.3018036;4.2460699;26.0325241;1.9790747;0.3242748
920461.5;822353.5;10;1.1447132;0.000495;1.8491722;11.963871;139.6812592;7.9816999;34.3135872;7.597868;21.0810242;41.501091;9.3498068;0.4038126;1.2833827;3.6788695;0.0097271;303.5180054;-0.8337123;0.8552004;0.08241;0.0003791;1.3426943;0.1926576;-24.4444408;0.552199;0.008547;0.2965024;17.9821606;-24;37.5534286;4.3020878;23.6829567;2.4922283;0.3678616
924922.5;822353.5;6;0.6748149;0.0009089;8.0852022;5.4475641;181.6005249;7.9816127;33.3826218;7.5331869;24.5065041;41.6833954;9.3865023;0.4238785;1.8020211;3.723109;0.0210436;302.0054016;-0.8479984;0.8776545;0.099959;0.0004518;1.2336516;0.1679334;-9.666667;0.5299987;0.1503268;0.2120063;14.2672901;-2;37.4264259;4.316947;21.9303513;2.7776561;0.4556543
929383.5;822353.5;6;0.3027676;0.0012503;15.608387;0.2922945;214.4016418;7.9795699;32.6099586;7.4639344;27.2145252;42.0158348;9.3528204;0.4359388;2.1985199;4.0627522;0.029642;273.6744995;-0.9979442;0.935213;0.116429;0.0005246;1.124609;0.1351583;0;0.0640883;0.2044445;0.1753261;14.1717901;14;36.3144112;4.2832775;20.7455883;3.2550299;0.5821719
933844.5;822353.5;9;0.3542406;0.0011877;22.554575;0.6762053;215.7003174;7.9772921;32.4784355;6.369606;27.2938557;42.227066;9.4501152;0.3997782;2.1716073;4.4147754;0.0244955;225;-0.7071067;0.9643759;0.1387983;0.0006292;1.0301881;0.1338782;0;-0.7071068;0.5359477;0.0681026;10.1300201;29;43.5283279;4.3432217;19.8787422;3.7110078;0.6216252
938305.5;822353.5;5;0.4687871;0.0011439;22.9615479;0.8682759;195.2104187;7.9769382;32.6722221;9.3630457;27.106039;42.2407417;9.4738045;0.3682415;1.9255812;4.6520572;0.0234115;274.3987122;-0.9970545;0.9773899;0.1527128;0.0007713;0.923244;0.1416316;0;0.0766964;-0.2266666;0.0209292;8.4590521;12;45.9198799;4.3291535;19.1989536;4.3921089;0.6657637
942766.5;822353.5;5;0.5925676;0.0010313;29.8720188;6.331212;115.8445816;7.9773331;32.7674141;17.4155521;26.9874897;41.395649;9.0049381;0.3390132;1.729892;4.4727125;0.0232174;288.434906;-0.9486834;0.9671397;0.1976945;0.0007937;0.8880447;0.1553562;0;0.3162274;0.0277778;0.223346;14.3432398;27;45.7030487;4.3336635;19.906559;4.8248806;0.6805203
862468.5;817892.5;15;2.7343917;0.0007116;0;35.7112312;14.1591434;7.985826;34.7953606;47.2777672;10.1656036;38.6928902;4.4205685;0.0100868;0.0280888;5.2159333;0;328.1689148;-0.5274179;0.844645;0.0902799;0;1.4281477;0.3900892;-182;0.849606;-0.0218068;0.7273567;111.4210968;-189;49.0465927;4.0126004;38.3476563;0.502901;0.1304407
866929.5;817892.5;15;2.4869745;0.0006965;0;32.5652351;19.0574627;7.9855599;34.863472;34.8227844;11.8293381;38.6988792;2.9170902;0.0223563;0.0539817;5.2296553;1.80E-06;329.9451904;-0.5008279;0.8356669;0.1011829;0;1.4206115;0.3851492;-122.625;0.8655469;0.0206386;1.2145441;99.3113022;-116;47.0797462;3.9657288;36.9802132;0.5102134;0.1434419
871390.5;817892.5;15;2.2319503;0.0006757;0;29.3280525;26.30093;7.9851284;34.923584;23.3757114;13.4024773;38.7860069;4.6207495;0.0370512;0.0855519;5.316124;4.00E-06;279.2370911;-0.9870325;0.8290904;0.1099671;0;1.4312768;0.3871287;-74.7777786;0.1605207;0.0726834;0.9399074;122.2817993;-38;44.9449577;3.9112244;37.1602898;0.4697168;0.1533057
875851.5;817892.5;11;2.0722022;0.0006296;0.0032794;27.1425114;37.344101;7.9845395;34.9472771;18.1751175;14.219449;38.9074249;5.1313396;0.0779343;0.1893237;5.4362168;0.0001456;172.0792999;0.1378032;0.8248592;0.1091084;0;1.4419422;0.3901534;-42.3333282;-0.9904596;-0.0634921;0.7454597;69.3285217;-57;42.9976311;4.0264578;33.4157333;0.4127526;0.1655954
880312.5;817892.5;14;1.9516855;0.0005732;0.0079091;25.3899975;49.9518509;7.9843879;34.9559784;15.5466051;14.7250566;39.226284;4.4758048;0.1296006;0.3228254;5.2225785;0.0003446;132.4324036;0.7380738;0.8104957;0.1042791;0;1.4526076;0.3783;-44.8888893;-0.67472;-0.1130351;0.5067251;69.6171188;-71;43.3454781;4.102551;32.4311066;0.6395734;0.1894055
